NUMBER,STREET,INTERSECTION,TOWN,CLASSIFIED,REPAIRED,GRADE,
888,WASHINGTON,,DEDHAM,04/17/14,04/18/14,2,
11,PACELLA,,DEDHAM,04/18/14,04/18/14,1,
24,FAIR-OAK,,DEDHAM,04/18/14,04/24/14,2,
191,CURVE,,DEDHAM,04/24/14,04/24/14,1,
81,VIOLET,,DEDHAM,04/24/14,04/30/14,2,
52,MASSACHUSETTS,,DEDHAM,05/07/14,05/07/14,2,
474,WASHINGTON,,DEDHAM,05/07/14,05/07/14,2,
119,AMES,,DEDHAM,05/07/14,05/12/14,2,
38,BULLARD,,DEDHAM,05/19/14,05/19/14,1,
15,LINDALE,,DEDHAM,04/30/14,05/21/14,2,
2,LEE,,DEDHAM,05/27/14,05/27/14,2,
120,ALDEN,,DEDHAM,03/10/14,06/04/14,2,
43,VIOLET,,DEDHAM,06/03/14,06/04/14,2,
143,CURVE,,DEDHAM,04/27/14,06/06/14,2,
,DALE,,DEDHAM,06/09/14,06/11/14,2,
,CURVE,AT OAK ST,DEDHAM,06/18/14,06/19/14,2,
20,CHARLESBANK,,DEDHAM,06/04/14,06/24/14,2,
52,OAK,,DEDHAM,06/26/14,06/27/14,2,
,BROOKDALE,AT EAST ST,DEDHAM,07/02/14,07/07/14,1,
158,QUINCY,,DEDHAM,07/17/14,07/17/14,1,
26,LOWDER,,DEDHAM,07/21/14,07/22/14,2,
45-55,LOWDER,,DEDHAM,07/21/14,07/22/14,2,
11,CHUTE,,DEDHAM,06/30/14,08/01/14,2,
,DALE,AT 66 BORDER ST,DEDHAM,04/30/14,08/05/14,2,
72,BEECH,,DEDHAM,05/28/14,08/08/14,2,
53-59,CURVE,,DEDHAM,06/25/14,08/08/14,2,
41,DIXON,,DEDHAM,06/25/14,08/08/14,2,
41,DIXON,,DEDHAM,08/21/14,08/21/14,1,
2,LEE,,DEDHAM,08/19/14,08/25/14,2,
8,CASS,,DEDHAM,08/25/14,08/25/14,2,
42,MASSACHUSETTS,,DEDHAM,08/26/14,08/26/14,2,
22-24,CHURCH,,DEDHAM,08/12/14,09/02/14,2,
16,LEE,,DEDHAM,08/28/14,09/03/14,2,
62,CURVE,,DEDHAM,09/04/14,09/04/14,2,
1,JUNIPER,,DEDHAM,08/14/14,09/05/14,,
,NEEDHAM,,DEDHAM,08/29/14,09/08/14,,
20,CHARLESBANK,,DEDHAM,09/08/14,09/08/14,,
37,KIELY,,DEDHAM,09/08/14,09/08/14,,
12-14,CHURCH,,DEDHAM,08/13/14,09/09/14,,
98,CURVE,,DEDHAM,08/18/14,09/10/14,,
29,SPRAGUE,,DEDHAM,06/30/14,09/11/14,,
39,DALE,,DEDHAM,08/19/14,09/16/14,2,
39,DALE,,DEDHAM,09/12/14,09/16/14,2,
20,MAVERICK,,DEDHAM,08/28/14,09/18/14,2,
,RIVERSIDE,AT VINE ROAD ST,DEDHAM,09/23/14,09/23/14,1,
168,AMES,,DEDHAM,09/22/14,09/25/14,2,
53,CURVE,,DEDHAM,09/17/14,09/26/14,2,
,LEE,,DEDHAM,09/02/14,09/29/14,2,
,ORCHARD,,DEDHAM,09/16/14,09/29/14,2,
15,OHIO,,DEDHAM,09/13/14,10/02/14,2,
73,BEECH,,DEDHAM,05/28/14,10/03/14,2,
49,AMES,,DEDHAM,05/07/14,10/06/14,2,
103,JEFFERSON,,DEDHAM,10/08/14,10/08/14,1,
694,WASHINGTON,,DEDHAM,10/13/14,10/13/14,1,
28-30,HARDING,,DEDHAM,10/17/14,10/17/14,1,
,QUINCY,AT WINTHROP ST,DEDHAM,10/06/14,10/20/14,2,
347,MOUNT VERNON,,DEDHAM,10/26/14,10/26/14,1,
172,HIGH,,DEDHAM,10/28/14,10/28/14,1,
277,COURT,,DEDHAM,09/25/14,02/11/14,2,
,GRANT,AT ELMWOOD,DEDHAM,10/20/14,11/04/14,2,
12,PARSONS,,DEDHAM,09/18/14,11/06/14,2,
901,HIGH,,DEDHAM,11/03/14,11/10/14,2,
80,BIRCH,,DEDHAM,05/28/14,11/19/14,2,
133,CURVE,,DEDHAM,06/25/14,11/20/14,2,
20,CHESTER,,DEDHAM,08/13/14,11/21/14,2,
287,COURT,,DEDHAM,09/04/14,11/21/14,2,
315,GREENLODGE,,DEDHAM,08/25/14,11/25/14,2,
37-39,MYRTLE,,DEDHAM,09/15/14,11/26/14,2,
37-39,MYRTLE,,DEDHAM,11/24/14,11/28/14,1,
156,BUSSEY,,DEDHAM,11/04/14,12/01/14,2,
1,MAGENNIS,,DEDHAM,09/04/14,12/02/14,2,
,RIDGEWAY,AT GRANITE,DEDHAM,10/30/14,12/02/14,2,
15,CHICKERING,,DEDHAM,06/06/14,12/03/14,2,
46,SOUTHGATE,,DEDHAM,10/30/14,12/03/14,2,
31,WASHINGTON,,DEDHAM,10/01/14,12/04/14,2,
102,ASHCROFT,,DEDHAM,10/22/14,12/12/14,2,
,OTIS,AT EAST ST,DEDHAM,12/11/14,12/12/14,2,
,DALE,,DEDHAM,08/20/14,12/13/14,2,
915,HIGH,,DEDHAM,12/01/14,12/13/14,2,
,WASHINGTON,AT STAR LN,DEDHAM,05/23/14,12/16/14,2,
,EASTERN,,DEDHAM,08/22/14,12/17/14,2,
25,STIVALETTA,,DEDHAM,09/26/14,12/18/14,2,
19,WILLARD,,DEDHAM,10/29/14,12/20/14,2,
90,SUNSET,,DEDHAM,11/05/14,12/22/14,2,
OPP 249,MILTON,,DEDHAM,09/09/14,12/23/14,2,
,VILLAGE,AT ALLINDALE WAY,DEDHAM,11/12/14,12/26/14,2,
88,SPRAGUE,,DEDHAM,07/01/14,12/27/14,2,
,BRIDGE,,DEDHAM,07/16/14,12/27/14,2,
92,CURVE,,DEDHAM,12/27/14,12/27/14,1,
,UPLAND,AT SPRAGUE ST,DEDHAM,07/01/14,12/29/14,2,
40-46,BAY,,FAIRHAVEN,01/05/14,01/07/14,2,
10,KANE,,FAIRHAVEN,01/10/14,01/11/14,1,
60,HATHAWAY,,FAIRHAVEN,01/13/14,01/13/14,1,
17,HASTE,,FAIRHAVEN,01/16/14,01/17/14,2,
55,JERUSALEM,,FAIRHAVEN,02/05/14,01/21/14,2,
22,EVERGREEN,,FAIRHAVEN,01/14/14,02/07/14,2,
539,SCONTICUT-NECK,,FAIRHAVEN,02/12/14,02/14/14,2,
13,SPRINGHILL,,FAIRHAVEN,02/12/14,02/25/14,2,
,HUTTLESTON,AT ARSENE ST,FAIRHAVEN,02/23/14,02/25/14,2,
518,SCONTICUT-NECK,,FAIRHAVEN,02/15/14,03/21/14,2,
145,PLEASANT,,FAIRHAVEN,04/22/14,04/22/14,1,
17,COE,,FAIRHAVEN,04/23/14,04/23/14,2,
14-34,BERDON,,FAIRHAVEN,05/07/14,05/07/14,1,
155,HUTTLESTON,,FAIRHAVEN,05/12/14,05/12/14,1,
5,STEPHEN,,FAIRHAVEN,05/10/14,05/14/14,2,
,CHURCH,AT PLEASANT ST,FAIRHAVEN,05/20/14,05/21/14,2,
2,BAY-VIEW,,FAIRHAVEN,03/07/14,05/27/14,2,
,TURNER,AT FARMFIELD ST,FAIRHAVEN,03/03/14,05/28/14,2,
68,HEDGE,,FAIRHAVEN,06/16/14,06/16/14,1,
54,WASHINGTON,,FAIRHAVEN,06/17/14,06/17/14,1,
2,DAY,,FAIRHAVEN,04/04/14,06/26/14,2,
28,SMITH,,FAIRHAVEN,04/02/14,06/27/14,2,
,EDDY,,FAIRHAVEN,02/04/14,07/08/14,2,
30,LINDEN,,FAIRHAVEN,07/15/14,07/15/14,1,
276,HUTTLESTON,,FAIRHAVEN,07/31/14,07/31/14,1,
,GREEN,AT PHOENIX ST,FAIRHAVEN,05/07/14,08/05/14,2,
,GREEN,AT 9 PHOENIX ST,FAIRHAVEN,05/28/14,08/05/14,2,
44,GROVE,,FAIRHAVEN,05/03/14,08/04/14,2,
16,RESERVATION,,FAIRHAVEN,08/26/14,08/26/14,2,
17,SUMMER,,FAIRHAVEN,09/03/14,09/12/14,,
22,BROWN,,FAIRHAVEN,09/18/14,09/18/14,2,
17,COE,,FAIRHAVEN,09/15/14,09/23/14,2,
28,HAMLET,,FAIRHAVEN,07/28/14,09/26/14,2,
2,HAMLET,,FAIRHAVEN,07/29/14,09/26/14,2,
22,HATHAWAY,,FAIRHAVEN,08/13/14,09/26/14,2,
35,POINT,,FAIRHAVEN,10/04/14,10/04/14,1,
118,WEEDEN,,FAIRHAVEN,07/30/14,10/08/14,2,
137,LAUREL,,FAIRHAVEN,10/08/14,10/08/14,1,
2,RYLE,,FAIRHAVEN,10/09/14,10/09/14,1,
330,MAIN,,FAIRHAVEN,10/14/14,10/14/14,1,
134,CHESTNUT,,FAIRHAVEN,10/15/14,10/15/14,1,
110,ADAMS,,FAIRHAVEN,09/29/14,10/20/14,2,
73,HARDING,,FAIRHAVEN,10/21/14,10/21/14,1,
26,RIVET,,FAIRHAVEN,07/21/14,10/24/14,2,
15,ROSEANNE,,FAIRHAVEN,10/28/14,10/28/14,1,
35,HACKER,,FAIRHAVEN,08/08/14,11/05/14,2,
14,MANHATTAN,,FAIRHAVEN,08/11/14,11/07/14,2,
54,ADAMS,,FAIRHAVEN,09/03/14,11/07/14,2,
67,MILL,,FAIRHAVEN,11/04/14,11/07/14,2,
59,PLEASANT,,FAIRHAVEN,11/10/14,11/10/14,1,
,CASTLE,AT NORTH ST,FAIRHAVEN,10/03/14,11/19/14,2,
27,HIGHLAND,,FAIRHAVEN,08/07/14,11/20/14,2,
4,HARVARD,,FAIRHAVEN,08/12/14,11/20/14,2,
14,BONNEY,,FAIRHAVEN,08/18/14,11/20/14,2,
,FRANCIS,,FAIRHAVEN,09/26/14,11/20/14,2,
,NANCY,,FAIRHAVEN,10/27/14,11/20/14,2,
3,CHANEY,,FAIRHAVEN,11/21/14,11/21/14,1,
36,HARVARD,,FAIRHAVEN,08/12/14,11/25/14,2,
7,RIVET,,FAIRHAVEN,07/21/14,12/01/14,2,
20,FAIRHAVEN-COMMONS,,FAIRHAVEN,08/15/14,12/01/14,2,
43-46,HEDGE,,FAIRHAVEN,10/07/14,12/01/14,2,
372,MAIN,,FAIRHAVEN,10/14/14,12/02/14,2,
35,BRIDGE,,FAIRHAVEN,09/23/14,12/03/14,2,
14,NEWTON,,FAIRHAVEN,10/22/14,12/04/14,2,
309,ALDEN,,FAIRHAVEN,10/27/14,12/04/14,2,
289,HUTTLESTON,,FAIRHAVEN,07/30/14,12/05/14,2,
362,MAIN,,FAIRHAVEN,10/09/14,12/05/14,2,
6,DUDLEY,,FAIRHAVEN,10/22/14,12/08/14,2,
55,WILDING,,FAIRHAVEN,10/20/14,12/10/14,2,
14,LIVESEY,,FAIRHAVEN,10/27/14,12/10/14,2,
,HOWLAND,AT MAIN ST,FAIRHAVEN,10/17/14,12/12/14,2,
241,MAIN,,FAIRHAVEN,10/09/14,12/17/14,2,
240,ADAMS,,FAIRHAVEN,10/20/14,12/26/14,3,
14,RESERVATION,,FAIRHAVEN,12/26/14,12/29/14,2,
,HOLLIS,AT CHAFLIN ST,FRAMINGHAM,07/08/12,01/09/14,1,
26,BRIARWOOD,,FRAMINGHAM,01/09/14,01/13/14,2,
51,APPLEDOR,,FRAMINGHAM,01/13/14,01/13/14,1,
,FENWICK,AT ASHTON LN,FRAMINGHAM,01/15/14,01/15/14,2,
198,LOCKLAND,,FRAMINGHAM,01/16/14,01/17/14,2,
198,LOCKLAND,,FRAMINGHAM,01/19/14,01/21/14,2,
,CURRIER,AT LANEWOOD AVE,FRAMINGHAM,01/23/14,01/21/14,3,
198,LOCKLAND,,FRAMINGHAM,01/20/14,01/22/14,2,
237,UNION,,FRAMINGHAM,01/25/14,01/25/14,1,
39-41,WOODWARD,,FRAMINGHAM,01/28/14,01/28/14,1,
56,SECOND,,FRAMINGHAM,01/29/14,01/29/14,2,
110,ELM,,FRAMINGHAM,01/30/14,01/30/14,1,
2,NEW-YORK,,FRAMINGHAM,01/31/14,01/31/14,2,
52,BERRY,,FRAMINGHAM,02/06/14,02/06/14,1,
,WILD-OAK,,FRAMINGHAM,02/06/14,02/06/14,1,
200,LOCKLAND,,FRAMINGHAM,01/16/14,02/07/14,2,
108,JEAN,,FRAMINGHAM,02/11/14,02/11/14,2,
53,CLAFLIN,,FRAMINGHAM,02/14/14,02/16/14,1,
16,BEAVER-TERRACE,,FRAMINGHAM,02/19/14,02/19/14,1,
10,NICHOLAS,,FRAMINGHAM,02/23/14,02/25/14,2,
56,EAMES,,FRAMINGHAM,02/18/14,02/19/14,2,
58,LINDA,,FRAMINGHAM,02/15/14,02/20/14,2,
20,ROSE,,FRAMINGHAM,02/24/14,02/24/14,1,
30,ROSE,,FRAMINGHAM,02/24/14,02/24/14,2,
25,KNIGHT,,FRAMINGHAM,02/24/14,02/24/14,2,
6,STILLMAN,,FRAMINGHAM,02/24/14,02/25/14,2,
325,PLEASANT,,FRAMINGHAM,02/25/14,02/25/14,2,
327,SINGLETARY,,FRAMINGHAM,03/07/14,03/11/14,2,
16,GLEASON,,FRAMINGHAM,03/14/14,03/14/14,1,
,CONCORD,AT PHELPS ST,FRAMINGHAM,03/19/14,03/19/14,1,
30,SHAWMUT,,FRAMINGHAM,03/19/14,03/19/14,1,
8,AUGUST,,FRAMINGHAM,03/14/14,03/21/14,2,
14,CREST,,FRAMINGHAM,02/12/14,03/24/14,2,
13,ROXANNA,,FRAMINGHAM,03/26/14,03/26/14,1,
13,GINA,,FRAMINGHAM,04/04/14,04/04/14,1,
39,BERKELEY,,FRAMINGHAM,04/08/14,04/10/14,2,
400,COCHITUATE,,FRAMINGHAM,04/14/14,04/14/14,1,
,SECOND,AT BEAVER TER CIR,FRAMINGHAM,04/14/14,04/18/14,2,
19,DUFFET,,FRAMINGHAM,05/03/14,05/03/14,1,
28,DUFFET,,FRAMINGHAM,05/07/14,05/07/14,1,
11,VICTORY,,FRAMINGHAM,04/18/14,05/12/14,2,
153,FRANKLIN,,FRAMINGHAM,05/12/14,05/12/14,1,
89,MAYNARD,,FRAMINGHAM,05/15/14,05/15/14,1,
19,DUFFET,,FRAMINGHAM,05/22/14,05/22/14,1,
,LANEWOOD,AT ROLLING DR,FRAMINGHAM,05/28/14,05/28/14,2,
,CHARLES,AT HOLLIS ST,FRAMINGHAM,05/28/14,05/29/14,2,
4,BANCROFT,,FRAMINGHAM,06/10/14,06/10/14,1,
19,LARRABEE,,FRAMINGHAM,06/12/14,06/12/14,1,
997,WAVERLY,,FRAMINGHAM,06/13/14,06/13/14,1,
42,GILBERT,,FRAMINGHAM,06/18/14,06/18/14,1,
107,ROUNDTOP,,FRAMINGHAM,06/23/14,06/23/14,1,
100,MOUNTAIN,,FRAMINGHAM,06/24/14,06/24/14,1,
565,POTTER,,FRAMINGHAM,05/28/14,07/11/14,2,
19,DUFFET,,FRAMINGHAM,07/13/14,07/13/14,1,
396,OLD-CONNECTICUT,,FRAMINGHAM,07/09/14,07/14/14,2,
9,CRESTWOOD,,FRAMINGHAM,03/25/14,07/15/14,2,
329,SINGLETARY,,FRAMINGHAM,07/15/14,07/15/14,1,
60,ELM,,FRAMINGHAM,07/21/14,07/21/14,1,
477,EDGELL,,FRAMINGHAM,08/01/14,08/01/14,1,
198,LOCKLAND,,FRAMINGHAM,05/03/14,08/04/14,2,
200,LOCKLAND,,FRAMINGHAM,05/03/14,08/04/14,2,
36,BELVIDERE,,FRAMINGHAM,08/07/14,08/07/14,2,
51-53,LAWRENCE,,FRAMINGHAM,07/31/14,07/31/14,1,
28,BRIARWOOD,,FRAMINGHAM,07/31/14,07/31/14,1,
,WINTHROP,AT MELLEN ST,FRAMINGHAM,06/25/14,08/01/14,2,
,WINTER,AT WAVERLY ST,FRAMINGHAM,08/05/14,08/05/14,1,
19,PRIOR,,FRAMINGHAM,08/06/14,08/06/14,1,
46,BETHANY,,FRAMINGHAM,08/26/14,08/26/14,1,
615,CONCORD,,FRAMINGHAM,01/06/14,09/05/14,,
60,SPEEN,,FRAMINGHAM,09/05/14,09/09/14,,
1500,WORCESTER,,FRAMINGHAM,09/09/14,09/09/14,,
43,WOODMERE,,FRAMINGHAM,09/10/14,09/10/14,,
15,LINDBERGH,,FRAMINGHAM,08/26/14,09/24/14,2,
15,LINDBERGH,,FRAMINGHAM,09/04/14,09/24/14,2,
1492,CONCORD,,FRAMINGHAM,09/29/14,09/29/14,1,
108,FAY,,FRAMINGHAM,10/06/14,10/06/14,2,
847,CENTRAL,,FRAMINGHAM,10/20/14,10/20/14,1,
26A-26B,A,,FRAMINGHAM,10/28/14,10/28/14,1,
911,EDGELL,,FRAMINGHAM,10/30/14,10/30/14,1,
19,DUFFETT,,FRAMINGHAM,11/09/14,11/09/14,1,
1004-1008,PLEASANT,,FRAMINGHAM,09/19/14,11/21/14,2,
1004,PLEASANT,,FRAMINGHAM,11/22/14,11/22/14,2,
14,CREST,,FRAMINGHAM,09/23/14,11/28/14,2,
110,ROUNDTOP,,FRAMINGHAM,12/01/14,12/01/14,2,
16,HILLSIDE,,FRAMINGHAM,12/03/14,12/03/14,1,
9-11,MORTON,,FRAMINGHAM,12/05/14,12/05/14,2,
,CLAUDETTE,AT LYMAN RD,FRAMINGHAM,09/11/14,12/08/14,2,
35,NEWTON,,FRAMINGHAM,06/16/14,12/11/14,2,
74-76,NEW YORK,,FRAMINGHAM,12/12/14,12/12/14,1,
79,BEACON,,FRAMINGHAM,10/29/14,12/17/14,2,
1,FRANCINE,,FRAMINGHAM,12/16/14,12/17/14,2,
33,GLEASON,,FRAMINGHAM,10/28/14,12/22/14,2,
37,LYMAN,,FRAMINGHAM,11/04/14,12/22/14,2,
98,LAWRENCE,,FRAMINGHAM,11/13/14,12/23/14,2,
10,CRESTWOOD,,FRAMINGHAM,12/16/14,12/23/14,2,
907,PLEASANT,,FRAMINGHAM,04/02/14,12/26/14,2,
57,BETHANY,,FRAMINGHAM,05/06/14,12/26/14,2,
138,TARALLI,,FRAMINGHAM,09/19/14,12/29/14,2,
,LINCOLN,,FRAMINGHAM,09/23/14,12/29/14,2,
20,SECOND,,FRAMINGHAM,11/12/14,12/29/14,2,
573,PLEASANT,,FRAMINGHAM,05/14/14,12/30/14,2,
1062,GROVE,,FRAMINGHAM,12/30/14,12/30/14,1,
7,N-MAIN,,GRAFTON,01/10/14,01/10/14,1,
,HOLLYWOOD,AT BEVERLY RD,GRAFTON,01/10/14,01/10/14,2,
1-5,WOODBRIDGE,,GRAFTON,01/13/14,01/13/14,1,
35,GRAFTN-COMN,,GRAFTON,01/15/14,01/16/14,2,
35,GRAFTN-COMN,,GRAFTON,02/02/14,02/03/14,2,
,JANET,AT DORIS,GRAFTON,03/06/14,03/07/14,1,
,DORIS,AT MARYANN DR,GRAFTON,03/14/14,03/14/14,1,
2,MILL,,GRAFTON,03/24/14,03/24/14,2,
33,SOUTH,,GRAFTON,05/01/14,05/02/14,1,
52,ELMWOOD,,GRAFTON,05/14/14,05/14/14,2,
19,BAY-FARM,,GRAFTON,07/19/14,07/19/14,1,
9,SUNRISE,,GRAFTON,07/16/14,07/29/14,2,
85,PROVIDENCE,,GRAFTON,08/04/14,08/06/14,2,
27-33,BUTTERCUP,,GRAFTON,09/15/14,09/15/14,2,
79,ELMWOOD,,GRAFTON,11/10/14,11/10/14,2,
33,GORDON,,GRAFTON,11/20/14,11/24/14,2,
160,RESERVOIR,,HOLDEN,09/11/14,09/11/14,,
10,WOODRIDGE,,HOLDEN,11/26/14,12/04/14,2,
71,TRACY-LYN,,HOLLISTON,01/03/14,01/05/14,2,
12,METCALF,,HOLLISTON,01/06/14,01/06/14,2,
,WASHINGTON,,HOLLISTON,01/05/14,01/28/14,2,
1605,WASHINGTON,,HOLLISTON,01/19/14,01/28/14,2,
286,WASHINGTON,,HOLLISTON,01/31/14,02/04/14,2,
286,WASHINGTON,,HOLLISTON,02/05/14,02/05/14,2,
16,PINECREST,,HOLLISTON,01/30/14,02/07/14,2,
730,NORFOLK,,HOLLISTON,02/03/14,02/07/14,2,
16,BRADFORD-JAY,,HOLLISTON,02/03/14,02/10/14,2,
,WASHINGTON,AT POPE,HOLLISTON,02/03/14,02/12/14,2,
,WASHINGTON,,HOLLISTON,02/10/14,02/12/14,2,
83,MOHAWK,,HOLLISTON,02/18/14,02/18/14,1,
,CHESTNUT,AT WASHINGTON ST,HOLLISTON,02/22/14,02/24/14,2,
66,WILKINS,,HOLLISTON,02/23/14,02/25/14,2,
35,PAUL,,HOLLISTON,03/14/14,03/17/14,2,
56,MORTON,,HOLLISTON,03/17/14,03/18/14,2,
48,PINECREST,,HOLLISTON,03/20/14,03/21/14,2,
,OAKRIDGE,AT BIRCHWOOD RD,HOLLISTON,03/20/14,03/24/14,2,
17,OAKRIDGE,,HOLLISTON,03/20/14,03/25/14,2,
10,COLONIAL,,HOLLISTON,06/10/14,06/10/14,1,
7-9,PINECREST,,HOLLISTON,06/18/14,06/19/14,2,
11,INDIAN,,HOLLISTON,08/06/14,08/06/14,1,
310,HIGH,,HOLLISTON,08/05/14,08/05/14,2,
49,PINECREST,,HOLLISTON,08/26/14,08/26/14,2,
127,MOHAWK,,HOLLISTON,09/16/14,09/16/14,2,
,TURNER,,HOLLISTON,07/15/14,09/18/14,2,
729,CENTRAL,,HOLLISTON,09/24/14,09/25/14,2,
29,CONCORD,,HOLLISTON,10/28/14,10/28/14,2,
149,HOLLY,,HOLLISTON,10/28/14,10/28/14,1,
29,CONCORD,,HOLLISTON,10/28/14,10/28/14,1,
65,BRADFORD JAY,,HOLLISTON,12/12/14,12/12/14,1,
1212,WASHINGTON,,HOLLISTON,10/27/14,12/18/14,2,
49,PINECREST,,HOLLISTON,12/17/14,12/18/14,2,
37,ADIN,,HOPEDALE,01/15/14,01/15/14,1,
3-4,LAKE,,HOPEDALE,03/27/14,03/27/14,1,
93,DUTCHER,,HOPEDALE,04/14/14,04/14/14,1,
107,HOPEDALE,,HOPEDALE,09/14/14,09/14/14,,
,FREEDOM,,HOPEDALE,12/12/14,12/12/14,1,
,WOOD,AT WHISPER WAY,HOPKINTON,01/15/14,01/29/14,2,
,EASTVIEW,,HOPKINTON,05/02/14,05/02/14,1,
353,WOOD,,HOPKINTON,05/28/14,05/30/14,2,
200,WOOD,,HOPKINTON,05/30/14,06/04/14,2,
13,THAYER-HTS,,HOPKINTON,05/31/14,06/04/14,2,
13,THAYER-HTS,,HOPKINTON,06/02/14,06/04/14,2,
,CEDAR,AT ALKEN ST,HOPKINTON,06/24/14,06/24/14,1,
34,CONNELLY-HILL,,HOPKINTON,07/25/14,07/25/14,1,
333,WOOD,,HOPKINTON,09/08/14,10/08/14,2,
319,WOOD,,HOPKINTON,09/09/14,10/08/14,2,
15,FROSTPANE,,HOPKINTON,10/14/14,10/14/14,1,
171,SOUTH,,HOPKINTON,10/31/14,10/31/14,1,
8-12,TREVOR,,HOPKINTON,11/05/14,11/05/14,2,
129,WOOD,,HOPKINTON,11/03/14,12/04/14,2,
,WOOD,,HOPKINTON,11/14/14,12/04/14,2,
6-8,RYEGRASS,,HOPKINTON,12/18/14,12/18/14,1,
28,CEDAR,,HOPKINTON,10/30/14,12/20/14,2,
158,HAYDEN ROWE,,HOPKINTON,12/10/14,12/29/14,2,
12,FLORENCE,,HUDSON,01/11/14,01/11/14,1,
40-46,MICHIGAN,,HUDSON,01/18/14,01/18/14,1,
40-46,MICHIGAN,,HUDSON,01/19/14,01/21/14,2,
322,CENTRAL,,HUDSON,01/21/14,01/21/14,1,
11R,LINCOLN,,HUDSON,01/28/14,01/28/14,1,
11R,SCHOOL,,HUDSON,01/29/14,01/29/14,2,
,CAUSEWAY,,HUDSON,11/14/13,01/30/14,2,
23,CHAMPLAIN,,HUDSON,01/19/14,02/10/14,2,
17,HURON,,HUDSON,02/25/14,02/25/14,2,
