Town,address,cross st,date reported,Date repaired,status
NATICK,34-40 MORSE,,07/02/14,,2014 Unrepaired 
NATICK,37 HARDWICK,,05/30/14,,2014 Unrepaired 
NATICK,38 LINCOLN,,10/02/14,,2014 Unrepaired 
NATICK,4 HOME,,10/08/14,,2014 Unrepaired 
NATICK,40 PORTER,,07/15/14,,2014 Unrepaired 
NATICK,41 FISKE,,09/04/14,,2014 Unrepaired 
NATICK,41 SPEEN,,09/04/14,,2014 Unrepaired 
NATICK,48 BURNING-TREE,,08/13/14,,2014 Unrepaired 
NATICK,5 PINE,,10/22/14,,2014 Unrepaired 
NATICK,51 PARK,,07/28/14,,2014 Unrepaired 
NATICK,6 OVERHILL,,08/08/14,,2014 Unrepaired 
NATICK,6 PLEASANT,,12/26/14,,2014 Unrepaired 
NATICK,6 STRATHMORE,,06/12/14,,2014 Unrepaired 
NATICK,60 PILGRIM,,07/30/14,,2014 Unrepaired 
NATICK,67 UNION,,06/13/14,,2014 Unrepaired 
NATICK,7 RIVER,,08/28/14,,2014 Unrepaired 
NATICK,790 WORCESTER,,11/04/13,,2014 Unrepaired 
NATICK,8 CHURCH,,11/17/14,,2014 Unrepaired 
NATICK,8 PINEHURST,,07/28/14,,2014 Unrepaired 
NATICK,83 SPEEN,,09/15/14,,2014 Unrepaired 
NATICK,88 PARK,,10/02/14,,2014 Unrepaired 
NATICK,92 SPEEN,,09/03/14,,2014 Unrepaired 
NATICK,920 WORCESTER,,10/30/13,,2014 Unrepaired 
NATICK,96 SPEEN,,09/03/14,,2014 Unrepaired 
NATICK,97 NORTH MAIN,,12/23/14,,2014 Unrepaired 
NEEDHAM,BRADFORD,,08/21/14,,2014 Unrepaired 
NEEDHAM,1000 HIGHLAND,,10/06/10,,2014 Unrepaired 
NEEDHAM,1139 HIGHLAND,,10/07/10,,2014 Unrepaired 
NEEDHAM,1167 GREAT-PLAIN,,08/13/14,,2014 Unrepaired 
NEEDHAM,135 WELLESLEY,,09/17/10,,2014 Unrepaired 
NEEDHAM,17 RIDGEWAY,,12/22/14,,2014 Unrepaired 
NEEDHAM,17 ROSEMARY,,12/03/14,,2014 Unrepaired 
NEEDHAM,19 MARKED-TREE,,12/20/13,,2014 Unrepaired 
NEEDHAM,200 HARRIS,,10/08/10,,2014 Unrepaired 
NEEDHAM,203 LINDBERGH,,12/03/14,,2014 Unrepaired 
NEEDHAM,247 MANNING,,12/04/14,,2014 Unrepaired 
NEEDHAM,287 HIGH ROCK,,12/19/14,,2014 Unrepaired 
NEEDHAM,29 YALE,,12/16/14,,2014 Unrepaired 
NEEDHAM,31 ROSEMARY,,12/03/14,,2014 Unrepaired 
NEEDHAM,381 HIGH ROCK,,12/19/14,,2014 Unrepaired 
NEEDHAM,454 GROVE,,09/17/14,,2014 Unrepaired 
NEEDHAM,454 WEBSTER,,12/04/14,,2014 Unrepaired 
NEEDHAM,52 MANNING,,12/04/14,,2014 Unrepaired 
NEEDHAM,53 BEAUFORT,,08/21/14,,2014 Unrepaired 
NEEDHAM,65 ROSEMARY,,12/03/14,,2014 Unrepaired 
NEEDHAM,67 NORFOLK,,12/22/14,,2014 Unrepaired 
NEEDHAM,68 PLEASANT,,12/17/14,,2014 Unrepaired 
NEEDHAM,77 BREWSTER,,09/11/14,,2014 Unrepaired 
NEEDHAM,9-11 TILLOTSON,,12/03/14,,2014 Unrepaired 
NEEDHAM,95 WEBSTER,,12/04/14,,2014 Unrepaired 
NEEDHAM,98 LINCOLN,,12/23/14,,2014 Unrepaired 
NEW BEDFORD,981 BRISTOL,,05/20/14,,2014 Unrepaired 
NEW BEDFORD,BRIER,,07/01/14,,2014 Unrepaired 
NEW BEDFORD,11 NYE,,05/30/14,,2014 Unrepaired 
NEW BEDFORD,115 CHARLES,,03/25/14,,2014 Unrepaired 
NEW BEDFORD,116 CHARLES,,07/11/14,,2014 Unrepaired 
NEW BEDFORD,123 BEDFORD,@ COTTAGE STREET,08/13/12,,2014 Unrepaired 
NEW BEDFORD,128 PORTLAND,,07/14/14,,2014 Unrepaired 
NEW BEDFORD,129 HOLLY,,05/30/14,,2014 Unrepaired 
NEW BEDFORD,133 CLARK,,06/11/14,,2014 Unrepaired 
NEW BEDFORD,145 BULLARD,,05/30/14,,2014 Unrepaired 
NEW BEDFORD,151 ROCKLAND,,07/03/14,,2014 Unrepaired 
NEW BEDFORD,155 CHARLES,,03/25/14,,2014 Unrepaired 
NEW BEDFORD,163 ACUSHNET,,09/15/14,,2014 Unrepaired 
NEW BEDFORD,167 TOWNSEND,,06/04/14,,2014 Unrepaired 
NEW BEDFORD,174 MCARTHUR,,06/30/14,,2014 Unrepaired 
NEW BEDFORD,1801 ACUSHNET,@ BATES STREET,09/17/14,,2014 Unrepaired 
NEW BEDFORD,194 COFFIN,,05/30/14,,2014 Unrepaired 
NEW BEDFORD,211 CAROLINE,@ DURFEE STREET,05/07/14,,2014 Unrepaired 
NEW BEDFORD,215-219 CLIFFORD,,05/23/14,,2014 Unrepaired 
NEW BEDFORD,225 RYAN,@ BYRON STREET,06/26/14,,2014 Unrepaired 
NEW BEDFORD,242 WALNUT,,06/24/14,,2014 Unrepaired 
NEW BEDFORD,245 WALNUT,,06/24/14,,2014 Unrepaired 
NEW BEDFORD,253 COLLETTE,,05/29/14,,2014 Unrepaired 
NEW BEDFORD,27 S-SIXTH,,06/25/14,,2014 Unrepaired 
NEW BEDFORD,29 LONGWOOD,,06/17/14,,2014 Unrepaired 
NEW BEDFORD,37 S-SIXTH,,06/25/14,,2014 Unrepaired 
NEW BEDFORD,404 NASH,,09/29/14,,2014 Unrepaired 
NEW BEDFORD,47 THOMPSON,,07/22/14,,2014 Unrepaired 
NEW BEDFORD,48 STEPHEN,,07/07/14,,2014 Unrepaired 
NEW BEDFORD,49 SEYMOUR,,07/14/14,,2014 Unrepaired 
NEW BEDFORD,50 DURFEE,@ HIGHLAND STREET,06/11/14,,2014 Unrepaired 
NEW BEDFORD,518 PURCHASE,,06/25/14,,2014 Unrepaired 
NEW BEDFORD,554 BROCK,,07/15/14,,2014 Unrepaired 
NEW BEDFORD,59 TINKHAM,,05/29/14,,2014 Unrepaired 
NEW BEDFORD,6 STUDLEY,,06/12/14,,2014 Unrepaired 
NEW BEDFORD,611 BELLEVILLE,,05/27/14,,2014 Unrepaired 
NEW BEDFORD,87 ASHLEY,,12/01/14,,2014 Unrepaired 
NEW BEDFORD,89 SMITH,,06/18/14,,2014 Unrepaired 
NEW BEDFORD,91 ASHLEY,,06/10/14,,2014 Unrepaired 
NEW BEDFORD,95 BEETLE,,06/10/14,,2014 Unrepaired 
NORTHBORO,1 THOREAU,,11/13/14,,2014 Unrepaired 
NORTHBORO,10 MILK PORRIDGE,,11/03/14,,2014 Unrepaired 
NORTHBORO,101 WHITNEY,,10/16/14,,2014 Unrepaired 
NORTHBORO,169 INDIAN MEADOW,,11/13/14,,2014 Unrepaired 
NORTHBORO,22 STONE,,10/10/14,,2014 Unrepaired 
NORTHBORO,25 CATHERINE,,12/31/14,,2014 Unrepaired 
NORTHBORO,368 WHITNEY,,10/16/14,,2014 Unrepaired 
NORTHBORO,41 THOREAU,,12/30/14,,2014 Unrepaired 
NORTHBORO,42 THOREAU,,12/30/14,,2014 Unrepaired 
NORTHBORO,6 OTIS,,12/30/14,,2014 Unrepaired 
NORTHBORO,82 SUNSET,,11/06/14,,2014 Unrepaired 
NORTHBRIDGE,BENSON,,09/25/14,,2014 Unrepaired 
NORTHBRIDGE,ELM,,10/16/14,,2014 Unrepaired 
NORTHBRIDGE,18 GRANITE,,11/03/11,,2014 Unrepaired 
NORTHBRIDGE,38-40 DOUGLAS,,10/16/14,,2014 Unrepaired 
PLYMOUTH,1 WALNUT,,05/05/14,,2014 Unrepaired 
PLYMOUTH,19 LINCOLN,,09/11/14,,2014 Unrepaired 
PLYMOUTH,3 HOWES,,10/01/14,,2014 Unrepaired 
SHREWSBURY,15 FOX HILL,,10/02/14,,2014 Unrepaired 
SHREWSBURY,18 HUTCHINS,,11/13/14,,2014 Unrepaired 
SHREWSBURY,392 OAK,,08/15/14,,2014 Unrepaired 
SHREWSBURY,400 OAK,,08/15/14,,2014 Unrepaired 
SHREWSBURY,501 OAK,,08/15/14,,2014 Unrepaired 
SHREWSBURY,788 BOSTON,,11/17/14,,2014 Unrepaired 
SOMERVILLE,12 THORPE,,04/10/14,,2014 Unrepaired 
SOMERVILLE,139 COLLEGE,,10/07/14,,2014 Unrepaired 
SOMERVILLE,267 SUMMER,,06/03/14,,2014 Unrepaired 
SOMERVILLE,28 VINAL,,09/05/14,,2014 Unrepaired 
SOMERVILLE,282 SOMERVILLE,,11/20/13,,2014 Unrepaired 
SOMERVILLE,369-371 ALEWIFE BROOK,,11/04/14,,2014 Unrepaired 
SOMERVILLE,41 CONWELL,,08/22/14,,2014 Unrepaired 
SOMERVILLE,48 CHERRY,,06/16/14,,2014 Unrepaired 
SOMERVILLE,5 BURNSIDE,,03/02/14,,2014 Unrepaired 
SOMERVILLE,80 FAIRFAX,,05/20/14,,2014 Unrepaired 
SOMERVILLE,85 CLARENDON,,06/19/14,,2014 Unrepaired 
SOMERVILLE,9 HAROLD,,09/04/14,,2014 Unrepaired 
SOMERVILLE,96 BRISTOL,,04/17/14,,2014 Unrepaired 
SOUTHBORO,CRYSTAL POND,,11/10/14,,2014 Unrepaired 
SOUTHBORO,107 PINE HILL,,04/01/14,,2014 Unrepaired 
SOUTHBORO,12 CHERRY,,09/16/14,,2014 Unrepaired 
SOUTHBORO,25 PARK,,10/06/14,,2014 Unrepaired 
SOUTHBORO,51 CENTRAL,,10/01/14,,2014 Unrepaired 
SOUTHBORO,6 WINCHESTER,,10/06/14,,2014 Unrepaired 
STOW,155 GREAT,,10/23/14,,2014 Unrepaired 
STOW,35 GARNER,,10/23/14,,2014 Unrepaired 
STOW,484 GLEASONDALE,,10/23/14,,2014 Unrepaired 
SUTTON,20A OLD PROVIDENCE,,11/18/14,,2014 Unrepaired 
SUTTON,3 BOSTON,,11/19/14,,2014 Unrepaired 
,,,,,
UPTON,5 WEST MAIN,,11/05/14,,2014 Unrepaired 
UPTON,65 PLEASANT,,08/17/12,,2014 Unrepaired 
UXBRIDGE,14 SCOTT,,10/02/14,,2014 Unrepaired 
UXBRIDGE,21 NORTH MAIN,,12/26/14,,2014 Unrepaired 
UXBRIDGE,83 LINWOOD,,05/06/14,,2014 Unrepaired 
WEST BOYLSTON,11 NEWTON,,11/24/14,,2014 Unrepaired 
WEST BOYLSTON,119 CENTRAL,,11/21/14,,2014 Unrepaired 
WEST BOYLSTON,185 WORCESTER,,11/24/14,,2014 Unrepaired 
WEST BOYLSTON,3 BRANDYWINE,,04/25/14,,2014 Unrepaired 
WEST BOYLSTON,339 WEST BOYLSTON,,11/25/14,,2014 Unrepaired 
WESTBOROUGH,106 RUGGLES,,11/13/14,,2014 Unrepaired 
WESTBOROUGH,1801 WINDSOR RIDGE,,11/03/14,,2014 Unrepaired 
WESTBOROUGH,27 WASHINGTON,,09/16/13,,2014 Unrepaired 
WESTBOROUGH,28 ELM,,11/05/14,,2014 Unrepaired 
WESTBOROUGH,280 TURNPIKE,,10/02/14,,2014 Unrepaired 
WESTBOROUGH,35 LYMAN,,12/15/14,,2014 Unrepaired 
WESTWOOD,BLUE-HILL,,06/06/14,,2014 Unrepaired 
WESTWOOD,125 FENSVIEW,,12/24/14,,2014 Unrepaired 
WESTWOOD,257 WASHINGTON,,11/26/13,,2014 Unrepaired 
WESTWOOD,346 UNIVERSITY,,07/24/14,,2014 Unrepaired 
WESTWOOD,375 PROVIDENCE,,08/02/05,,2014 Unrepaired 
WESTWOOD,60 BRIAR,,12/24/14,,2014 Unrepaired 
WESTWOOD,71 PROVIDENCE,,11/29/13,,2014 Unrepaired 
WESTWOOD,800 CLAPBOARD-TREE,,11/26/13,,2014 Unrepaired 
WESTWOOD,91 STRASSER,,12/29/14,,2014 Unrepaired 
WORCESTER,1-3 LAUREL BROOK,,12/11/14,,2014 Unrepaired 
WORCESTER,12 LENOX,,07/30/14,,2014 Unrepaired 
WORCESTER,1200 STATE,,09/18/14,,2014 Unrepaired 
WORCESTER,123 HIGHLAND,,10/22/14,,2014 Unrepaired 
WORCESTER,123 JUNE,,12/05/14,,2014 Unrepaired 
WORCESTER,126 JUNE,,12/05/14,,2014 Unrepaired 
WORCESTER,138 SOUTHBRIDGE,,09/04/14,,2014 Unrepaired 
WORCESTER,14 QUINAPOXET,,04/30/14,,2014 Unrepaired 
WORCESTER,1477 MAIN,,12/01/14,,2014 Unrepaired 
WORCESTER,148 RICHMOND,,06/13/14,,2014 Unrepaired 
WORCESTER,15 KILBY,,09/25/14,,2014 Unrepaired 
WORCESTER,16 SECONSET,,09/26/14,,2014 Unrepaired 
WORCESTER,16 SUMMERHILL,,10/01/14,,2014 Unrepaired 
WORCESTER,17 LANTERN,,12/11/14,,2014 Unrepaired 
WORCESTER,18 GORDON,,09/25/14,,2014 Unrepaired 
WORCESTER,18 JONES,,05/28/14,,2014 Unrepaired 
WORCESTER,186 ST-NICHOLAS,,05/01/14,,2014 Unrepaired 
WORCESTER,189 HOLDEN,,10/23/14,,2014 Unrepaired 
WORCESTER,19 AMESBURY,,11/04/14,,2014 Unrepaired 
WORCESTER,19 OLGA,@ ADOLPH ST,10/28/14,,2014 Unrepaired 
WORCESTER,19B QUEEN,,10/08/14,,2014 Unrepaired 
WORCESTER,207-209 ST-NICHOLAS,,05/01/14,,2014 Unrepaired 
WORCESTER,21 MERRICK,,12/04/14,,2014 Unrepaired 
WORCESTER,212 VERNON,,07/10/14,,2014 Unrepaired 
WORCESTER,214 SHREWSBURY,,04/24/14,,2014 Unrepaired 
WORCESTER,22 MOTT,,12/03/14,,2014 Unrepaired 
WORCESTER,237 ST-NICHOLAS,,05/01/14,,2014 Unrepaired 
WORCESTER,24 CRESWELL,,11/21/14,,2014 Unrepaired 
WORCESTER,257 LOVELL,,10/16/14,,2014 Unrepaired 
WORCESTER,271 ST-NICHOLAS,,05/01/14,,2014 Unrepaired 
WORCESTER,28 ARARAT,,08/14/14,,2014 Unrepaired 
WORCESTER,28 WILSON,,11/06/14,,2014 Unrepaired 
WORCESTER,295 SALISBURY,,10/01/14,,2014 Unrepaired 
WORCESTER,3 WINTER-HILL,,08/21/14,,2014 Unrepaired 
WORCESTER,301 SALISBURY,,10/01/14,,2014 Unrepaired 
WORCESTER,31 MAIN,@ DOWNING ST,12/11/14,,2014 Unrepaired 
WORCESTER,31 SHELBY,,10/17/14,,2014 Unrepaired 
WORCESTER,344 CHANDLER,,10/01/14,,2014 Unrepaired 
WORCESTER,35 MERRIFIELD,,12/05/14,,2014 Unrepaired 
WORCESTER,353 MOWER,,10/23/14,,2014 Unrepaired 
WORCESTER,39 STAFFORD,,09/25/14,,2014 Unrepaired 
WORCESTER,4 ROSEMONT,,09/03/14,,2014 Unrepaired 
WORCESTER,4 WOODS,,05/19/14,,2014 Unrepaired 
WORCESTER,41 MINTHORNE,,12/03/14,,2014 Unrepaired 
WORCESTER,414 CHANDLER,@ JUNE STREET,05/23/14,,2014 Unrepaired 
WORCESTER,416 MOWER,,10/21/14,,2014 Unrepaired 
WORCESTER,420 MOWER,,10/21/14,,2014 Unrepaired 
WORCESTER,429 CHANDLER,,10/01/14,,2014 Unrepaired 
WORCESTER,438 W-BOYLSTON,,04/10/14,,2014 Unrepaired 
WORCESTER,44 ROLLINSON,,04/30/14,,2014 Unrepaired 
WORCESTER,466 CHANDLER,,06/10/14,,2014 Unrepaired 
WORCESTER,47 SPOFFORD,,06/10/14,,2014 Unrepaired 
WORCESTER,480 W-BOYLSTON,,09/17/14,,2014 Unrepaired 
WORCESTER,5 APOLLO,,09/02/14,,2014 Unrepaired 
WORCESTER,5 ECHO,,08/06/14,,2014 Unrepaired 
WORCESTER,5 RANDOLPH,,12/15/14,,2014 Unrepaired 
WORCESTER,50 FORBES,,10/07/14,,2014 Unrepaired 
WORCESTER,50 HAMILTON,@ PLANTATION ST,12/17/14,,2014 Unrepaired 
WORCESTER,53 SPOFFORD,,08/14/13,,2014 Unrepaired 
WORCESTER,56 CLARIDGE,,10/03/14,,2014 Unrepaired 
WORCESTER,570 LINCOLN,,12/17/14,,2014 Unrepaired 
WORCESTER,58 W-BOYLSTON,,09/18/14,,2014 Unrepaired 
WORCESTER,585 PLEASANT,,10/30/14,,2014 Unrepaired 
WORCESTER,59 INGLESIDE,,07/21/14,,2014 Unrepaired 
WORCESTER,590 GRAFTON,,12/15/14,,2014 Unrepaired 
WORCESTER,6 SEVER,,10/01/14,,2014 Unrepaired 
WORCESTER,6 STURGIS,,10/01/14,,2014 Unrepaired 
WORCESTER,60-62 STANDISH,,10/01/14,,2014 Unrepaired 
WORCESTER,61 SUNDERLAND,,11/04/14,,2014 Unrepaired 
WORCESTER,66 EUNICE,,12/03/14,,2014 Unrepaired 
WORCESTER,7 SUN-VALLEY,,09/22/14,,2014 Unrepaired 
WORCESTER,72 CHANDLER,,05/21/14,,2014 Unrepaired 
WORCESTER,727 PLEASANT,,10/29/14,,2014 Unrepaired 
WORCESTER,74 HILLCROFT,,10/23/14,,2014 Unrepaired 
WORCESTER,76 RICHLAND,,09/22/14,,2014 Unrepaired 
WORCESTER,82 KENBERMA,,12/10/14,,2014 Unrepaired 
WORCESTER,83 GATES,,11/07/14,,2014 Unrepaired 
WORCESTER,86 QUINAPOXET,,04/30/14,,2014 Unrepaired 
WORCESTER,88 GORDON,,11/20/14,,2014 Unrepaired 
WORCESTER,89 SHREWSBURY,,10/02/14,,2014 Unrepaired 
WORCESTER,89 WILLIAM,,09/09/14,,2014 Unrepaired 
WORCESTER,9 TALLAWANDA,,04/30/14,,2014 Unrepaired 
WORCESTER,94-96 KENBERMA,,12/10/14,,2014 Unrepaired 